epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.286556601524353,0.7618065476417542,0.0899292603135109,0.7970588207244873,0.73779296875,0.261445015668869,0.058795344084501266,0.2844927906990051
1,0.8918779492378235,0.12721997499465942,0.05444667488336563,0.14856305718421936,0.94921875,0.06664997339248657,0.05216033384203911,0.08709681779146194
2,0.9583947658538818,0.056382935494184494,0.05075487866997719,0.07627884298563004,0.97021484375,0.040135473012924194,0.04734373837709427,0.05869422107934952
3,0.972232460975647,0.038166552782058716,0.04658809304237366,0.05642908811569214,0.978271484375,0.03200836107134819,0.044007278978824615,0.04925921559333801
4,0.9339622855186462,0.08170284330844879,0.04716133698821068,0.10019007325172424,0.959716796875,0.05278715863823891,0.044652119278907776,0.07029078900814056
5,0.9698002934455872,0.03839869052171707,0.04273653030395508,0.055151402950286865,0.976806640625,0.02917960286140442,0.040172260254621506,0.04492712765932083
6,0.9782576560974121,0.02662186324596405,0.040401630103588104,0.04245929419994354,0.982666015625,0.022908031940460205,0.03871860355138779,0.03808572143316269
7,0.9824034571647644,0.021639470010995865,0.03869059681892395,0.03680618479847908,0.98291015625,0.020365621894598007,0.037171196192502975,0.034936729818582535
8,0.9851857423782349,0.017700672149658203,0.037361666560173035,0.0323464460670948,0.984375,0.018187588080763817,0.036322351545095444,0.03242594748735428
9,0.9865307807922363,0.015782656148076057,0.03619559481739998,0.029971331357955933,0.988037109375,0.015594689175486565,0.03451639786362648,0.029125116765499115
10,0.9884839057922363,0.014091350138187408,0.03493697568774223,0.027786647900938988,0.987060546875,0.01520281471312046,0.03362128138542175,0.028382357209920883
11,0.9896631836891174,0.012862546369433403,0.034013744443655014,0.026195935904979706,0.989501953125,0.013906281441450119,0.03297504782676697,0.026832498610019684
12,0.9905291795730591,0.011280201375484467,0.03308963403105736,0.024251338094472885,0.98779296875,0.014408506453037262,0.03195249289274216,0.026933882385492325
13,0.9916899800300598,0.010528082959353924,0.03242376446723938,0.023238200694322586,0.988525390625,0.01370948739349842,0.03167193382978439,0.02612488530576229
14,0.9924086332321167,0.009527700021862984,0.031884923577308655,0.022026583552360535,0.98876953125,0.01222408376634121,0.030817929655313492,0.024304712191224098
